Source	Strength	Target
AGE	54.487977971989	CMB_CARDIOVASCULAR
COAGULATION	16.0040933979763	CMB_LIVER.COAG
CMB_CARDIOVASCULAR	12.8062163185572	CMB_DIABETES
LOS_ICU	12.1783597341636	RESPIRATION
CMB_PULMONARY	6.51164387720485	CMB_FLUID_ELECTROLYTE
CMB_CARDIOVASCULAR	5.54978453310503	RENAL
CMB_CARDIOVASCULAR	3.8055733559365	CMB_PULMONARY
CMB_LIVER.COAG	4.84685539286556	CMB_ALCOHOL_ABUSE
CMB_CARDIOVASCULAR	2.10937340965035	LOS_ICU
CMB_ALCOHOL_ABUSE	5.79182430543969	GENDER
CMB_ALCOHOL_ABUSE	1.14178637596092	AGE
CMB_LIVER.COAG	0.686990743103166	CMB_OTHER
CMB_ALCOHOL_ABUSE	0.564070694560428	CMB_MENTAL_HEALTH
CMB_CARDIOVASCULAR	0.18882348440178	EC_ES_INJURY
