Source	Strength	Target
AGE	54.487977971989	CMB_CARDIOVASCULAR
COAGULATION	16.0040933979763	CMB_LIVER.COAG
CMB_CARDIOVASCULAR	12.8062163185572	CMB_DIABETES
CMB_PULMONARY	6.51164387720485	CMB_FLUID_ELECTROLYTE
CMB_CARDIOVASCULAR	5.54978453310503	RENAL
AGE	4.9637643215284	DEAD
CMB_CARDIOVASCULAR	3.8055733559365	CMB_PULMONARY
CMB_LIVER.COAG	4.84685539286556	CMB_ALCOHOL_ABUSE
DEAD	2.69071462965792	RESPIRATION
CMB_ALCOHOL_ABUSE	5.79182430543969	GENDER
DEAD	1.21798784342367	CMB_MENTAL_HEALTH
CMB_ALCOHOL_ABUSE	1.14178637596092	AGE
CMB_LIVER.COAG	0.686990743103166	CMB_OTHER
CMB_CARDIOVASCULAR	0.18882348440178	EC_ES_INJURY
